Rank,Name,Position,Team,Check Box1,Check Box2,Height,Weight,Year,Age,Points,Rebounds,Assists,Blocks,Steals
1,LaMelo Ball,PG , Illawarra,No,Yes,"6'7""",190 lbs,International,19.1 yrs,19.6,8.7,7.9,0.1,1.8
2,Onyeka Okongwu,PF/C , USC,Yes,No,"6'9""",245 lbs,Freshman,19.8 yrs,19,10.2,1.3,3.2,1.4
3,Killian Hayes,PG/SG , Ratiopharm Ulm,No,Yes,"6'5""",187 lbs,International,19.2 yrs,16.8,4.1,7.8,0.4,2.1
4,James Wiseman,C , Memphis,Yes,No,"7'1""",237 lbs,Freshman,19.5 yrs,30.8,16.7,0.5,4.7,0.5
5,Tyrese Haliburton,PG , Iowa State,Yes,No,"6'5""",175 lbs,Sophomore,20.6 yrs,14.9,5.8,6.3,0.7,2.4
6,Obi Toppin,PF , Dayton,Yes,No,"6'9""",220 lbs,Sophomore,22.6 yrs,22.8,8.6,2.5,1.4,1.1
7,Anthony Edwards,SG , Georgia,Yes,No,"6'5""",225 lbs,Freshman,19.1 yrs,20.8,5.7,3.1,0.6,1.5
8,Deni Avdija,SF , Maccabi Tel Aviv,No,Yes,"6'9""",215 lbs,International,19.7 yrs,15,7.7,3.3,1.1,1.1
9,Devin Vassell,SG/SF , Florida State,Yes,No,"6'7""",194 lbs,Sophomore,20.1 yrs,15.9,6.3,2,1.2,1.8
10,Aleksej Pokusevski,PF , Olympiacos B,No,Yes,"7'0""",201 lbs,International,18.8 yrs,16.7,12.2,4.8,2.8,2
11,RJ Hampton,SG/PG , NZ Breakers,No,Yes,"6'5""",188 lbs,International,19.6 yrs,15.4,6.8,4.2,0.6,1.9
12,Josh Green,SG , Arizona,Yes,No,"6'6""",206 lbs,Freshman,19.9 yrs,14,5.3,3,0.5,1.8
13,Isaac Okoro,SF , Auburn,Yes,No,"6'6""",225 lbs,Freshman,19.7 yrs,14.7,5.1,2.3,1,1.1
14,Tyler Bey,SF , Colorado,Yes,No,"6'7""",216 lbs,Junior,22.6 yrs,17.2,11.2,1.8,1.4,1.9
15,Jalen Smith,PF , Maryland,Yes,No,"6'10""",225 lbs,Sophomore,20.5 yrs,17.8,12.1,0.9,2.7,0.8
16,Saddiq Bey,SF , Villanova,Yes,No,"6'8""",216 lbs,Sophomore,21.5 yrs,17.1,5,2.5,0.4,0.8
17,Paul Reed,PF , DePaul,Yes,No,"6'9""",220 lbs,Junior,21.3 yrs,17.2,12.2,1.8,2.9,2.1
18,Kira Lewis Jr.,PG , Alabama,Yes,No,"6'3""",165 lbs,Sophomore,19.5 yrs,17.7,4.6,5,0.6,1.7
